#           age (years)                      mass (M_sun)                    rho_c (g/cm^3)                      T_c (K)                         T_eff (K)                        L (L_sun)                       X(H1) center                      mu approx            
                 10490366.44713416                14.99656443752885               109413685.61391477                656227799.5889663               11922.487823217216               19071.462573775632                              0.0               1.3333333333333333
                 10490366.44713004                14.99656443752885               109413909.86383978                656228441.2739971               11928.924653472579                19112.54929407272                              0.0               1.3333333333333333
                 10490366.44712592                14.99656443752885               109413958.24254313                656228603.7043918               11939.747252119902               19182.169432912753                              0.0               1.3333333333333333
                 10490366.44711768                14.99656443752885               109413983.91748217                656228734.8634028               11956.713588712844               19291.794980728122                              0.0               1.3333333333333333
                10490366.447097084               14.996564437528853               109413878.28104073                656228599.9859483               11938.985052181486               19176.319015222976                              0.0               1.3333333333333333
                10490366.447071338               14.996564437528855               109413810.79164958                656228607.3063663                11924.14378421097               19079.346460688437                              0.0               1.3333333333333333
                10490366.447039155               14.996564437528862               109413756.25977758                656228697.7441205               11908.140824907168               18974.422705629735                              0.0               1.3333333333333333
                10490366.447012337                14.99656443752887               109413747.03857186                  656228871.81521               11904.341846537833               18947.751850867964                              0.0               1.3333333333333333
                10490366.446989987               14.996564437528871               109413726.36577481                656228981.4804759               11900.686785556793                18922.22672479134                              0.0               1.3333333333333333
                10490366.446971362               14.996564437528873               109413709.01326348                656229072.5270876               11897.995959956437               18903.079764225655                              0.0               1.3333333333333333
                10490366.446955841               14.996564437528876               109413692.49141015                656229142.7818044               11897.361557448283               18897.286919158414                              0.0               1.3333333333333333
                10490366.446942907               14.996564437528878               109413678.67282334                656229201.1901217                11899.94636300773                18912.29713871403                              0.0               1.3333333333333333
                 10490366.44693213                14.99656443752888               109413667.20458455                656229249.9924877               11906.393080021819               18952.293323381567                              0.0               1.3333333333333333
                10490366.446923148               14.996564437528884               109413658.47498555                656229292.9154563               11915.669844111791                19010.78879742048                              0.0               1.3333333333333333
                10490366.446912503               14.996564437528885               109413648.60732688                 656229345.098741               11928.245728601782               19090.577958897324                              0.0               1.3333333333333333
                10490366.446899196               14.996564437528887               109413644.70594227                  656229433.30865               11946.393650668691                19206.55701793435                              0.0               1.3333333333333333
                 10490366.44688256               14.996564437528887                109413643.8532875                656229554.5368433               11974.031660696128               19384.905791357254                              0.0               1.3333333333333333
                  10490366.4468687               14.996564437528887                109413650.6396261                656229675.9894352               11998.814788911637               19546.581647554445                              0.0               1.3333333333333333
                10490366.446857149               14.996564437528887               109413558.22552544                656229509.9569513               11987.386253001197               19471.746907091576                              0.0               1.3333333333333333
                10490366.446845002               14.996564437528887               109413489.62584946                  656229413.23028               11980.488541952209                19426.62810587369                              0.0               1.3333333333333333
                10490366.446832217               14.996564437528887               109413429.59552155                656229344.6036153               11974.264596473493               19385.975018289086                              0.0               1.3333333333333333
                10490366.446818165                14.99656443752889               109413363.55937552                656229269.0346653               11960.822730865299                19298.41833885787                              0.0               1.3333333333333333
                10490366.446803026               14.996564437528892                109413320.2932719                656229263.5731119                 11946.0862127892                19202.59858132016                              0.0               1.3333333333333333
                 10490366.44678615               14.996564437528894               109413286.41682266                656229296.5939319               11926.163007827172               19073.408251711433                              0.0               1.3333333333333333
                10490366.446766464               14.996564437528896               109413287.73856309                656229446.4048431               11912.486793824832               18984.306164422753                              0.0               1.3333333333333333
                10490366.446746778                 14.9965644375289               109413310.53307627                 656229654.730228               11911.781157013189               18978.202180593096                              0.0               1.3333333333333333
                10490366.446713971               14.996564437528907               109413313.24340393                656229905.7983067                11904.19816205295               18926.939582301962                              0.0               1.3333333333333333
                 10490366.44668663               14.996564437528914               109413324.33412915                656230139.0898546                11894.29819518884                18861.10778521478                              0.0               1.3333333333333333
                10490366.446663847                14.99656443752892               109413343.99290125                656230361.8851277               11881.994269845663               18780.219443218288                              0.0               1.3333333333333333
                 10490366.44664486               14.996564437528923               109413369.60912557                656230572.7108754               11867.489934226953               18685.684546850036                              0.0               1.3333333333333333
                10490366.446629038               14.996564437528924               109413399.45770383                656230771.5667374               11851.391044863634               18581.479754784224                              0.0               1.3333333333333333
                10490366.446615854               14.996564437528926               109413432.26534048                656230958.9001114               11834.771329919184               18474.492704965138                              0.0               1.3333333333333333
                10490366.446604867                14.99656443752893               109413467.98273395                656231137.8409672               11819.148737237212               18374.292983097926                              0.0               1.3333333333333333
                 10490366.44659571               14.996564437528932                109413505.2268457                656231307.3407334               11806.354374551845               18292.257913440782                              0.0               1.3333333333333333
                 10490366.44658808               14.996564437528933               109413543.23475869                 656231467.587321                11798.36579566691                18240.54860839399                              0.0               1.3333333333333333
                 10490366.44658172               14.996564437528937               109413581.31695698                656231618.5908399               11797.065110487378               18230.711464848737                              0.0               1.3333333333333333
                10490366.446576422               14.996564437528939                109413620.5599508                 656231764.886329               11803.822124041246                18271.25524066498                              0.0               1.3333333333333333
                10490366.446572006                14.99656443752894                109413661.6924627                656231909.7714542               11819.046015998518               18365.009305799733                              0.0               1.3333333333333333
                10490366.446568327               14.996564437528944               109413709.84735005                656232068.3267262                11841.76585672128               18506.489318032152                              0.0               1.3333333333333333
                10490366.446565261               14.996564437528944               109413790.72956848                656232311.5103697               11869.438358373996                18680.40169647277                              0.0               1.3333333333333333
                10490366.446562706               14.996564437528944               109413873.38330866                656232555.7254726               11898.388884480823                18863.94479934858                              0.0               1.3333333333333333
                10490366.446560577               14.996564437528944               109413962.23841085                656232813.6761874               11925.460761217073                19036.94356832978                              0.0               1.3333333333333333
                10490366.446558448               14.996564437528944               109413991.50538735                656232909.2465606                11954.09323183197               19221.281718247094                              0.0               1.3333333333333333
                10490366.446556319               14.996564437528944               109414022.23767637                656233008.8099734               11983.081918413523               19409.749603889803                              0.0               1.3333333333333333
                 10490366.44655206               14.996564437528944                109414026.7445762                656233052.7246288               12008.077309364387               19573.177103214675                              0.0               1.3333333333333333
                10490366.446547803               14.996564437528944               109413982.53533067                656232963.8855798               12006.345069817567               19561.440534557256                              0.0               1.3333333333333333
                10490366.446533607               14.996564437528944               109413834.13610156                656232664.9344934               12011.526511443582                19594.37550850121                              0.0               1.3333333333333333
                10490366.446521778               14.996564437528944                109413706.1905918                656232404.1463276               12015.197834406166               19617.785692465666                              0.0               1.3333333333333333
                10490366.446507515               14.996564437528944               109413530.63282354                656232031.6622849               12003.221924027239               19538.339279770098            3.415195713047163e-45               1.3333333333333333
                 10490366.44648969               14.996564437528944               109413363.48319039                656231708.5699695               12000.877889157313                19521.95500560121                              0.0               1.3333333333333333
                10490366.446474833               14.996564437528944               109413226.14445895                656231444.6467996               11993.688200838349               19474.131335047867                              0.0               1.3333333333333333
                10490366.446462456               14.996564437528944               109413127.01074885                656231266.4453555               11988.155037440587               19437.339410414927                              0.0               1.3333333333333333
                10490366.446447311               14.996564437528944                109413013.5957487                656231069.8659859               11976.930731629325               19363.329858410485                              0.0               1.3333333333333333
                10490366.446428992               14.996564437528946                 109412897.524915                656230889.6322356               11971.760223572248               19328.545731825987                              0.0               1.3333333333333333
                10490366.446407259               14.996564437528948               109412779.98787498                 656230730.763547               11974.800665993624                19346.94235448874                              0.0               1.3333333333333333
                10490366.446389148                14.99656443752895                109412669.8028287                656230565.0245278               11969.192166179788               19309.480709550287                              0.0               1.3333333333333333
                10490366.446374053               14.996564437528953                 109412606.127738                656230503.6076013               11959.999310428753               19248.979531113353                              0.0               1.3333333333333333
                10490366.446361477               14.996564437528955               109412560.20290533                656230471.8775713               11943.830532014856               19143.608552010926                              0.0               1.3333333333333333
                10490366.446350995               14.996564437528956               109412535.48516375                656230482.3685733               11923.986071512983                19014.99473734254                              0.0               1.3333333333333333
                10490366.446342262                14.99656443752896               109412534.21057332                656230543.7690575               11905.276190668194               18894.193539847034                              0.0               1.3333333333333333
                10490366.446334984               14.996564437528962                109412543.8840436                656230624.1914967                 11890.1896736905                18796.96685941545                              0.0               1.3333333333333333
                10490366.446328918               14.996564437528964               109412562.68224451                656230720.4692363                11882.22633529185                18745.31995892793                              0.0               1.3333333333333333
                10490366.446323862               14.996564437528967               109412584.38366249                 656230817.149909               11882.608186951846                 18746.7898712258           3.2880560744088225e-48               1.3333333333333333
                 10490366.44631965               14.996564437528967               109412608.27330643                656230913.5365342               11891.465323367831                18802.29464101799                              0.0               1.3333333333333333
                10490366.446316142               14.996564437528967               109412633.69593546                656231008.8863876               11904.645353783242               18885.678407772943                              0.0               1.3333333333333333
                10490366.446313215               14.996564437528967               109412655.05302203                 656231088.812114               11919.943497235887                18983.05183183908                              0.0               1.3333333333333333
                10490366.446310777               14.996564437528967               109412681.49769102                656231178.9808394                11936.40603970234               19088.477623529747                              0.0               1.3333333333333333
                10490366.446308745               14.996564437528967               109412713.08606711                656231280.1489974               11950.291934270035                19177.80000604473                              0.0               1.3333333333333333
                10490366.446307052               14.996564437528967               109413930.66871323                656234610.7091638               11961.615012355105                19250.83176308202                              0.0               1.3333333333333333
                10490366.446305359               14.996564437528967               109412882.85742077                656231767.9346443               11973.459228361127               19327.646206050416                              0.0               1.3333333333333333
                10490366.446298588               14.996564437528967                109412853.9544812                656231739.4642516               12007.397051029428               19548.872915558968                              0.0               1.3333333333333333
                10490366.446282957               14.996564437528967               109412709.68725404                656231462.4384958                12001.72635874202               19511.215113749317                              0.0               1.3333333333333333
                10490366.446263416               14.996564437528967               109412544.61872427                656231157.7550839               11989.025304601237               19427.577080973777                              0.0               1.3333333333333333
                10490366.446238987               14.996564437528967               109412391.04609714                656230920.6830415                11982.23257167402                19382.34473522576                              0.0               1.3333333333333333
                10490366.446208455               14.996564437528969               109412228.16393459                656230703.5970871               11975.093668246409                19334.67978529594                              0.0               1.3333333333333333
                10490366.446183011                14.99656443752897               109412120.92264435                656230600.3395116               11967.934876316813                19287.14104586957                              0.0               1.3333333333333333
                10490366.446161808               14.996564437528974               109412048.74587803                656230561.1380551                11958.09895785541               19222.422834718574                              0.0               1.3333333333333333
                10490366.446135305               14.996564437528976                109411991.1646127                656230601.0819185               11953.968663394771                19194.21197913605                              0.0               1.3333333333333333
                10490366.446105419               14.996564437528978                109411921.6236673                656230633.5515782               11941.215267702319               19110.098195753737                              0.0               1.3333333333333333
                10490366.446075534                14.99656443752898               109411896.05168664                656230785.8404258               11936.346823075812               19076.418862781506                              0.0               1.3333333333333333
                10490366.446045648               14.996564437528983                109411869.4639803                656230935.3613889                11940.24529315348                 19098.9133545884                              0.0               1.3333333333333333
                 10490366.44599584                14.99656443752899               109411784.81650618                656231074.6474615               11937.079546154411               19074.326769896266                              0.0               1.3333333333333333
                 10490366.44595433               14.996564437528997               109411714.85284859                656231192.2883697               11932.943523778118                19043.87011874757                              0.0               1.3333333333333333
                 10490366.44591974               14.996564437529004               109411658.29741327                656231295.0847365                11928.28226988736               19010.354756929486                              0.0               1.3333333333333333
                10490366.445890915               14.996564437529006               109411609.76761636                656231376.9324098               11924.061513076571               18979.952734826376                              0.0               1.3333333333333333
                10490366.445866892               14.996564437529008               109411566.19471985                656231436.6053615               11921.864745283016               18962.802954865703                              0.0               1.3333333333333333
                10490366.445846876                14.99656443752901               109411524.99048866                656231472.9975293               11923.479429756359                18970.36468926812                              0.0               1.3333333333333333
                10490366.445830194               14.996564437529013               109411484.29734327                656231486.0027524               11930.259112562973               19011.401938403043                              0.0               1.3333333333333333
                10490366.445816293               14.996564437529015               109411442.53986001                656231475.4577914               11942.468865335137                19087.82506204209                              0.0               1.3333333333333333
                 10490366.44580471               14.996564437529015               109411400.55786186                656231447.0928626               11962.344035664288                19214.43688533775                              0.0               1.3333333333333333
                10490366.445795057               14.996564437529015                109411358.1309203                656231403.1753058               11987.052402053374               19373.597448311473                              0.0               1.3333333333333333
                10490366.445783816               14.996564437529015               109411310.55371861                656231357.0156775                12014.94516766115               19554.816976832568                              0.0               1.3333333333333333
                10490366.445770865               14.996564437529015               109411194.12066583                656231135.9152793               12016.166648341426               19562.038447499515                              0.0               1.3333333333333333
                10490366.445754677               14.996564437529015               109411059.29154152                656230888.7311082               12015.819129106465                19558.88801910868                              0.0               1.3333333333333333
                10490366.445734441               14.996564437529015                109410883.7948738                656230560.7826048               12011.918705767348               19532.358860372547                              0.0               1.3333333333333333
                10490366.445717577               14.996564437529015               109410755.96250138                656230337.6740943               12012.656334757117               19536.449737632167                              0.0               1.3333333333333333
                10490366.445703523               14.996564437529015               109410653.71751995                656230163.4188852               12011.510839468396                19528.45333871851                              0.0               1.3333333333333333
                10490366.445687508               14.996564437529015               109410530.25632666                656229945.9253402                12004.28952574494               19480.727640091605                              0.0               1.3333333333333333
                10490366.445667489               14.996564437529015               109410417.41445714                656229787.1083666                11996.89686657319               19431.832828469098                              0.0               1.3333333333333333
                10490366.445650807               14.996564437529015               109410341.31157689                656229703.6274736                11984.76417727336               19352.293809716288                              0.0               1.3333333333333333
                10490366.445636902               14.996564437529017               109410291.39598015                 656229670.858527               11966.423996856907               19232.711756601544                              0.0               1.3333333333333333
                10490366.445621915                14.99656443752902               109410266.32790676                656229713.8596579               11946.164299369675               19100.989375650148                              0.0               1.3333333333333333
                10490366.445604336               14.996564437529022               109410263.52814473                656229836.7974457               11924.935518872591               18963.081833566517                              0.0               1.3333333333333333
                10490366.445589686               14.996564437529024               109410289.89511786                656230017.4570189               11915.492547741693               18900.888909865404                              0.0               1.3333333333333333
                10490366.445577478               14.996564437529027               109410307.29039665                656230155.5332974               11905.735855113833                18836.94856717344                              0.0               1.3333333333333333
                10490366.445567304                14.99656443752903               109410323.61323075                656230275.5750732               11896.507118027963               18776.627989483193                              0.0               1.3333333333333333
                10490366.445558827               14.996564437529031               109410343.81418516                656230393.5918998               11888.818391136749               18726.329872366387                              0.0               1.3333333333333333
                10490366.445551762               14.996564437529033               109410367.60351881                656230510.8930771               11883.752060188535               18692.861989052857                              0.0               1.3333333333333333
                10490366.445545875               14.996564437529036               109410394.50158152                656230627.9205675               11882.263750422815               18682.218061284286                              0.0               1.3333333333333333
                10490366.445540968               14.996564437529038               109410422.63748263                656230741.0335075               11884.930063049796                18698.03129444559                              0.0               1.3333333333333333
                10490366.445536882               14.996564437529038               109410453.79710983                656230856.3132905               11891.664011868475               18739.808080709314                              0.0               1.3333333333333333
                10490366.445533475               14.996564437529038               109410487.20001477                656230972.6452864               11901.472457306441               18801.367100971293                              0.0               1.3333333333333333
