# age = 9657882.510305405 years
#            r (R_sun)                        m (M_sun)                       rho (g/cm^3)                        T (K)                         P (dyn/cm^2)                          mu                              mu_e                          L (L_sun)                            X                                Y                              grad_a                           grad_T                      q_nuc (erg/g/s)         
              0.004443285963201802            6.250300011640252e-07               10.036623443752667               30174330.055063557             3.61514232703745e+16               0.7383868049358303                1.340640796282711             0.009008157011319412              0.49182388687903883              0.48852234614413065               0.3479088011869506              0.34791409613503677               1913.8236175207373
              0.005598204072392928            1.250060007430547e-06               10.036466973930379                30174069.35756252            3.615052553344561e+16                0.738386804935825               1.3406407962827038             0.018015008898762022               0.4918238868790469              0.48852234614412215               0.3479091676057114               0.3479136947934817               1913.5457425576917
              0.007053326143315214           2.5001200211549724e-06               10.036280688095571                30173758.98302227            3.614945674314285e+16               0.7383868049358158                1.340640796282691             0.036025605257840806              0.49182388687906103               0.4885223461441074               0.3479096038443157               0.3479135905879494               1913.2149656237202
               0.00888669724444985            5.000240050135894e-06               10.035984978188006               30173266.291597355            3.614776017410304e+16               0.7383868049358042               1.3406407962826754               0.0720369344916364               0.4918238868790787              0.48852234614408857               0.3479102963340025              0.34791388202735746               1912.6899954762987
              0.011196664000221915           1.0000480109874094e-05               10.035515569711102               30172484.185667414            3.614506711518658e+16               0.7383868049357842               1.3406407962826479              0.14402828825373157                0.491823886879109               0.4885223461440565              0.34791139560756623              0.34791473634728665               1911.8569226349437
              0.014107167302689134           2.0000960230771766e-05                10.03477043536809               30171242.651077107            3.614079234469924e+16               0.7383868049357503               1.3406407962826012              0.28791165953376363              0.49182388687916095              0.48852234614400153              0.34791314063902246               0.3479164283568515               1910.5351693974728
              0.017774426668089472            4.000192047434347e-05                10.03358762229181               30169271.788709603           3.6134007059456536e+16               0.7383868049356914               1.3406407962825209               0.5753632810783048               0.4918238868792502               0.4885223461439073               0.3479159108222175              0.34791940234660007               1908.4386964735793
              0.022395393924932033            8.000384096090963e-05                10.03171005994697                30166143.11371196            3.612323732577058e+16               0.7383868049355912               1.3406407962823843               1.1492673451303435               0.4918238868794027               0.4885223461437456               0.3479203085247177               0.3479243707656479               1905.1149794000376
              0.026833698820097517            0.0001375965632763311               10.029286379570403               30162103.879273202            3.610933663385506e+16                0.738386804935451               1.3406407962821925               1.9736912887739193               0.4918238868796156              0.48852234614352075              0.34792598677163633              0.34793032047098116               1900.8318624014682
              0.030152007619719288           0.00019518928559254906               10.026899074325089               30158124.589766297           3.6095646192449704e+16               0.7383868049353048               1.3406407962819928               2.7962926944607225               0.4918238868798381               0.4885223461432855               0.3479315816457816               0.3479354915482685               1896.6210370552124
              0.035196065955612275            0.0003103747302240969               10.023712012740093               30152811.950150155            3.607737300434875e+16                0.738386804935102                1.340640796281715                4.436640629082706               0.4918238868801466              0.48852234614295925               0.3479390509898138               0.3479445970719091                1891.012665156648
               0.04235663775702266            0.0005407456194860323                10.01825119833093               30143707.618657876           3.6046071648758056e+16               0.7383868049347363               1.3406407962812155                7.700758250079273               0.4918238868807025              0.48852234614237144              0.34795185227774056              0.34796007452897976                1881.437107763688
               0.05202781605110673             0.001001487398009447               10.009175455843367                30128572.19077558            3.599407320174489e+16               0.7383868049340913               1.3406407962803337               14.174214793738397               0.4918238868816833               0.4885223461413346              0.34797313664831897               0.3479856763895365                1865.617278329331
               0.06468966542262944             0.001922970955059829                9.994396921704302                 30103914.7935276            3.590946423752188e+16               0.7383868049329699               1.3406407962788012               26.944461811275083               0.4918238868833881               0.4885223461395329              0.34800781967628125               0.3480272801821043               1840.1076304455553
               0.08098178837413081              0.00376593806915869                9.970622308138138               30064217.474116772           3.5773515125746844e+16               0.7383868049310408               1.3406407962761648               51.925445839308175              0.49182388688632095              0.48852234613643436               0.3480636798063536               0.3480942190501773               1799.7138071726865
               0.09888011681906059             0.006839432671358933                  9.9368497408424                30007740.91019517           3.5580713448795452e+16               0.7383868049281117               1.3406407962721623                92.29099621472598              0.49182388689077317              0.48852234613173334              0.34814324061977214              0.34818467092894206                1743.657863640441
               0.12505782140086846             0.013776896480254408                 9.88048822683935               29913376.812240563           3.5259943054946676e+16               0.7383868049229497               1.3406407962651097               178.70615443858662              0.49182388689861867               0.4885223461234568               0.3482761784721798              0.34834995637775473               1653.5745568659584
               0.15615225423370185             0.026649232495143834                9.792304209132555               29765217.494696073           3.4760227955485084e+16               0.7383868049143958                1.340640796253426               326.19686270989496               0.4918238869116157               0.4885223461097663              0.34848538637538284               0.3485961983238159               1520.7752474296879
               0.17405646649171708              0.03675261450727784                9.710629652081458               29626876.029422358           3.4299021698313804e+16               0.7383868049060998               1.3406407962420979               433.22623622463874               0.4918238869242168               0.4885223460965223                0.348682417276547              0.34876054752030394               1405.7917602643122
                0.2052504642793168              0.05975516824681351                9.604699217917991               29447404.315948628            3.370532056033769e+16               0.7383868048951999               1.3406407962272182                653.1577689477637              0.49182388694076956              0.48852234607914996               0.3489371717534568              0.34909005525678327               1268.5271999051884
               0.23355711886455577              0.08726935646887712                9.467955691076952                29213513.29842744            3.294357726733671e+16               0.7383868048808897               1.3406407962076898                883.0602251148001              0.49182388696249285               0.4885223460564167              0.34927221180472556               0.3494352616021155               1108.2719709237574
                0.2565782387831826              0.11478354469094072                9.337212535526971                28987933.19880585           3.2220790053715176e+16               0.7383868048671747               1.3406407961889786               1084.6846454601523                0.491823886983308              0.48852234603469735              0.34959774988934705               0.3497484832348461                971.6681207601183
                0.2680898137836236               0.1303827742335428                9.244166857678023               28825955.971628565           3.1709405941957504e+16               0.7383868048573455               1.3406407961755706               1188.6349106066323              0.49182388699822377               0.4885223460191737              0.34983353142848544               0.3499153741252802                883.4049870074161
               0.28938091091148443               0.1626154426285724                9.144948759873822               28653339.395928252           3.1168712622111216e+16               0.7383868048468076               1.3406407961611932               1382.5859150451515               0.4918238870142175               0.4885223460025507               0.3500836804678073               0.3502434564166539                797.4999995826457
               0.29933821706171193               0.1792488814810008                9.051504689761146               28488791.598714814           3.0661226188693136e+16               0.7383868048367048                1.340640796147413               1473.3341015292629              0.49182388702954805              0.48852234598665817               0.3503255104626113               0.3504052468588476                722.9212349030811
               0.31861779025906045              0.21436445845742136                8.955393787997446               28319734.908186484            3.014380488756344e+16               0.7383868048263208                 1.34064079613325               1646.4332441841962              0.49182388704530344              0.48852234597034616                0.350572769779482                0.350733445573512                653.0183365146371
                0.3368235762684239              0.25114549312358303                8.830258892140868                28097478.32491669           2.9474050535709816e+16               0.7383868048127096               1.3406407961146978               1804.9244170241213               0.4918238870659424               0.4885223459490321              0.35090121404995556                0.351062623183246                570.6503366954786
               0.35412158154368606               0.2894357749367238                8.706687497833512                27876362.22257466           2.8818020210994804e+16               0.7383868047992612               1.3406407960963895               1949.0609497537632              0.49182388708631003              0.48852234592804983               0.3512301384651376               0.3513921730628863               498.34464319342715
                0.3706392118198944               0.3290998387762299                8.584661946496206               27656385.095051493            2.817545473986739e+16               0.7383868047860117               1.3406407960783875                2079.408703513527              0.49182388710633745              0.48852234590746785              0.35155951668959773               0.3517220677432762                434.9132866302645
               0.38647677902756633               0.3700185924813517                 8.46416355799635               27437543.559650816            2.754609481100967e+16               0.7383868047729863                1.340640796060739               2196.7264221873556               0.4918238871259712               0.4885223458873383               0.3518892702191581               0.3520522101607798                379.3030838408651
               0.40171493535597996              0.41208615624241196                8.345174078721477               27219833.154615495           2.6929683151586612e+16               0.7383868047602166                1.340640796043483                2301.882583961779              0.49182388714516934               0.4885223458677006               0.3522192492148943              0.35238245442344446               330.58130860392504
                0.4164196833513404               0.4552075501647408                8.227676371754677               27003248.743451316            2.632596554767364e+16               0.7383868047477492               1.3406407960266478                2395.797514783676              0.49182388716389935              0.48852234584858534              0.35254928855936035              0.35271266487644665               287.92258320319576
                0.4306458486822269              0.49929691102981033                 8.11165365941971               26787784.706731386           2.5734691348536868e+16               0.7383868047356344                1.340640796010257               2479.4031059589097               0.4918238871821356               0.4885223458300155               0.3528792658261692               0.3530427507621577               250.59700014543807
                0.4444395619274577               0.5442761091306482                7.997089565139951               26573435.085090883           2.5155613876591476e+16               0.7383868047239251               1.3406407959943278                2553.615208340146                0.491823887199858              0.48852234581200876               0.3532091098957585              0.35337267427249747                217.9595141548816
                0.4578400738329771               0.5900736536945731                7.883968165944058               26360193.648712978           2.4588490632138556e+16               0.7383868047126747                1.340640795978876               2619.3151599508783               0.4918238872170502              0.48852234579457876              0.35353880712914415              0.35370245658864247               189.44044485607014
