#           age (years)                      mass (M_sun)                    rho_c (g/cm^3)                      T_c (K)                         T_eff (K)                        L (L_sun)                       X(H1) center                      mu approx            
                 28297981396.05257               0.5630992270331967               3082292.9068562062                346657.5990148688               2369.1577467050247            4.553849472001246e-06            6.920528305523694e-26               1.3333333333333333
                 28297981396.05257               0.5630992270331967                3082292.906856389                346657.5990180831                2372.321511637962            4.578223020992291e-06            6.920528305523694e-26               1.3333333333333333
                 28297981396.05257               0.5630992270331967                3082292.906856408                346657.5990181023                2378.135944282634            4.623272221933633e-06            6.920528305523694e-26               1.3333333333333333
                 28297981396.05257               0.5630992270331967                 3082292.90685637                346657.5990117352               2385.1064951232306            4.677716079877216e-06            6.920528305523694e-26               1.3333333333333333
                 28297981396.05257               0.5630992270331967               3082292.9068564144                346657.5990106739               2392.7089522897777            4.737642177793008e-06            6.920528305523694e-26               1.3333333333333333
                28297981396.052567               0.5630992270331967                 3082292.90685637                346657.5990069838               2394.3177799723285            4.750397164522993e-06            6.920528305523696e-26               1.3333333333333333
                28297981396.052555               0.5630992270331967               3082292.9068563953               346657.59901274974                2395.293754252398           4.7581473511969976e-06            6.920528305523698e-26               1.3333333333333333
                28297981396.052265               0.5630992270331967               3082292.9068560107                 346657.599016912                2395.283660471629            4.758067148241122e-06            6.920528305523774e-26               1.3333333333333333
                 28297981396.05202               0.5630992270331967               3082292.9068560926               346657.59901194647               2395.3516559527015           4.7586074449601686e-06            6.920528305523837e-26               1.3333333333333333
                28297981396.050404               0.5630992270331967                3082292.906856263                346657.5990107987                 2395.36369689763            4.758703127923891e-06             6.92052830552426e-26               1.3333333333333333
                28297981396.007286               0.5630992270331967                3082292.906856326                346657.5990181526                 2395.36402782622            4.758705757657066e-06            6.920528305535565e-26               1.3333333333333333
                 28297981395.86357               0.5630992270331967                3082292.906856074                346657.5990169942                2395.364084605099            4.758706208852273e-06            6.920528305573249e-26               1.3333333333333333
                28297981395.624043               0.5630992270331967               3082292.9068560232                346657.5990288613               2395.3641570089244           4.7587067842113134e-06            6.920528305636055e-26               1.3333333333333333
                28297981394.027195               0.5630992270331967                3082292.906856074                346657.5991373813                2395.364169670569            4.758706884826711e-06            6.920528306054763e-26               1.3333333333333333
