#           age (years)                      mass (M_sun)                    rho_c (g/cm^3)                      T_c (K)                         T_eff (K)                        L (L_sun)                       X(H1) center                      mu approx            
                 35860914.57361684                0.972282850975365                19772189.87331988                142387774.8102271               12831.175431326283                29054.29193810276           1.1502825119457205e-53               1.3333333333333333
                  35860914.5729363                0.972282850975365               19772189.706660897               142387775.40087596               12682.192349155386               28933.727903825253            1.150282510719043e-53               1.3333333333333333
                35860914.572369166                0.972282850975365                19772189.56857408                142387775.8960753               12630.999553479878               28743.947379455803           1.1502825096661342e-53               1.3333333333333333
                 35860914.57189657                0.972282850975365                19772189.45481754               142387776.31369013               12350.584338422375               29148.830268881717             1.15028250873804e-53               1.3333333333333333
                35860914.571413495                0.972282850975365               19772189.335642423               142387776.72964922               12329.641038232672               28891.550945570896           1.1502825079010139e-53               1.3333333333333333
                 35860914.57088495                0.972282850975365               19772189.207227144               142387777.19221458               12085.411199733542                29085.79097751423            1.150282506908971e-53               1.3333333333333333
                35860914.570444494                0.972282850975365               19772189.098804876               142387777.57238424                 12133.2321879682                28700.36754025835           1.1502825061365213e-53               1.3333333333333333
                 35860914.57007745                0.972282850975365               19772189.010397244               142387777.89650527               12200.751478523896               28365.950589969358           1.1502825054179264e-53               1.3333333333333333
                 35860914.56977157                0.972282850975365               19772188.938189417                142387778.1721156               12307.838808868613                 28027.4432524515           1.1502825047626794e-53               1.3333333333333333
                 35860914.56951668                0.972282850975365                19772188.87919316                 142387778.406215               12439.541246707015               27680.732644673033            1.150282504171319e-53               1.3333333333333333
                 35860914.56930427                0.972282850975365               19772188.830918327                142387778.6046421               12591.074223200085               27306.730919225058            1.150282503644286e-53               1.3333333333333333
                 35860914.56912726                0.972282850975365                19772188.79141088               142387778.77271003               12799.549659543587               26886.092719087606           1.1502825031773155e-53               1.3333333333333333
                 35860914.56897976                0.972282850975365               19772188.759150125               142387778.91525793               12986.084639157023               26512.460848553284           1.1502825027626682e-53               1.3333333333333333
                35860914.568856835                0.972282850975365                19772188.73275271                142387779.0358757                13180.60687777962               26151.419606828513           1.1502825023983954e-53               1.3333333333333333
                  35860914.5687544                0.972282850975365               19772188.711146217               142387779.13786379               13401.109525464626               25770.147071806554           1.1502825020797586e-53               1.3333333333333333
                 35860914.56866903                0.972282850975365               19772188.693468183               142387779.22408408               13625.779523317051               25401.928271886667           1.1502825018016247e-53               1.3333333333333333
                 35860914.56859789                0.972282850975365               19772188.679006692               142387779.29695058               13853.915503820015               25036.864743688733            1.150282501559449e-53               1.3333333333333333
                 35860914.56853861                0.972282850975365               19772188.667191025                142387779.3585588               14084.844572056014                24688.25854428292           1.1502825013485538e-53               1.3333333333333333
                35860914.568489216                0.972282850975365                19772188.65752713               142387779.41058543               14327.522059431072               24344.438420682796           1.1502825011657875e-53               1.3333333333333333
                35860914.568448044                0.972282850975365                19772188.64962783               142387779.45451906               14568.132777187238                24056.24425602747           1.1502825010075484e-53               1.3333333333333333
                 35860914.56841374                0.972282850975365               19772188.643183064               142387779.49165034               14731.230130748852               23858.768733362864           1.1502825008703713e-53               1.3333333333333333
                 35860914.56837944                0.972282850975365               19772188.636736963               142387779.52877635                15204.49800583166                23370.90261818124           1.1502825007332452e-53               1.3333333333333333
                 35860914.56832226                0.972282850975365               19772188.626259733               142387779.59165418               15518.147522631147               23046.135611444333           1.1502825004944567e-53               1.3333333333333333
                 35860914.56827462                0.972282850975365                19772188.61770634                142387779.6447192               15805.394024076331                22724.70163717078           1.1502825002886154e-53               1.3333333333333333
                 35860914.56823491                0.972282850975365                19772188.61071605               142387779.68945774               16111.374674745737                22421.43140553148            1.150282500111788e-53               1.3333333333333333
                35860914.568201825                0.972282850975365               19772188.605046526                142387779.7273263               16383.350812534873                22230.80043315653           1.1502824999584398e-53               1.3333333333333333
                 35860914.56816564                0.972282850975365               19772188.598867506               142387779.76881507               17014.041012812875               21811.212565124704           1.1502824997899416e-53               1.3333333333333333
                 35860914.56807517                0.972282850975365               19772188.583325032               142387779.87217993                  17890.941816894                21020.26634393756           1.1502824993723418e-53               1.3333333333333333
                 35860914.56789426                0.972282850975365                 19772188.5578198                142387780.0998934               12724.756007519798                29107.10895581344           1.1502824983222857e-53               1.3333333333333333
                  35860914.5672912                0.972282850975365               19772188.409691054               142387780.62160635               12550.428428374747                29180.59962036889           1.1502824972523184e-53               1.3333333333333333
                 35860914.56678865                0.972282850975365               19772188.285689436               142387781.05425692                12401.88885410394                29138.69704655389           1.1502824963822534e-53               1.3333333333333333
                 35860914.56636986                0.972282850975365               19772188.182554126                142387781.4155494                12292.12000299851                29114.87756716007           1.1502824956495048e-53               1.3333333333333333
                 35860914.56602087                0.972282850975365                19772188.09669463               142387781.71695113               12174.722193312336               29121.959683038483           1.1502824950355491e-53               1.3333333333333333
                 35860914.56573004                0.972282850975365               19772188.025092423               142387781.96792203               12122.437528685658                29085.81241064712           1.1502824945259265e-53               1.3333333333333333
                 35860914.56543922                0.972282850975365               19772187.953654587               142387782.21951142               12101.284204184294               28834.696234100466           1.1502824940099726e-53               1.3333333333333333
                35860914.564954504                0.972282850975365               19772187.835813753               142387782.64342254               12177.596894607732               28403.455560592967            1.150282493102996e-53               1.3333333333333333
                35860914.564550586                0.972282850975365               19772187.740137354                142387783.0061745                12276.23763507708               28049.427816989806           1.1502824922499606e-53               1.3333333333333333
                 35860914.56421398                0.972282850975365                19772187.66212827               142387783.31494066                12397.89146409003                27699.76198728164           1.1502824914728119e-53               1.3333333333333333
                 35860914.56393348                0.972282850975365                19772187.59832985               142387783.57679248                12566.27960854709               27312.818804845334           1.1502824907786214e-53               1.3333333333333333
                 35860914.56369973                0.972282850975365                 19772187.5461619               142387783.79875362                12768.79303704448               26905.522019763448           1.1502824901617165e-53               1.3333333333333333
                35860914.563504934                0.972282850975365               19772187.503523316               142387783.98686063               12960.796674061923               26538.041335082497           1.1502824896154837e-53               1.3333333333333333
